Bölge;m² (Brüt);Oda Sayısı;Fiyat;Mahalle
Bakirkoy;150;3+1;12.000.000 TL;"Yeşilköy
Yeşilköy Mh."
Basaksehir;140;3+1;3.650.000 TL;"İkitelli
Güvercintepe Mh."
Basaksehir;274;5+1;31.500.000 TL;"Başakşehir
Başak Mh."
Basaksehir;140;3+1;7.900.000 TL;"İkitelli
Ziya Gökalp Mh."
Basaksehir;80;2+1;2.950.000 TL;"İkitelli
Güvercintepe Mh."
Basaksehir;105;2+1;2.450.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;119;3+1;3.750.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;120;3+1;3.750.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;119;2+1;2.330.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;126;2+1;7.250.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;210;4+1;15.500.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;110;2+1;2.349.999 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;202;4+1;9.900.000 TL;"Bahçeşehir
Bahçeşehir 1. Kısım Mh."
Basaksehir;110;2+1;7.250.000 TL;"Bahçeşehir
Bahçeşehir 1. Kısım Mh."
Basaksehir;85;2+1;3.980.000 TL;"İkitelli
Kayabaşı Mh."
Basaksehir;210;4+1;3.800.000 TL;"İkitelli
Güvercintepe Mh."
Basaksehir;140;3+1;3.590.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;290;4+2;5.650.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;192;4+1;11.900.000 TL;"İkitelli
Ziya Gökalp Mh."
Basaksehir;87;2+1;4.250.000 TL;"Başakşehir
Başak Mh."
Basaksehir;220;4+1;14.300.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;220;4+1;17.950.000 TL;"Bahçeşehir
Bahçeşehir 1. Kısım Mh."
Basaksehir;130;3+1;3.849.999 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;194;4.5+1;14.000.000 TL;"İkitelli
Ziya Gökalp Mh."
Basaksehir;125;4+1;3.450.000 TL;"İkitelli
Güvercintepe Mh."
Basaksehir;130;3+1;6.050.000 TL;"Başakşehir
Başak Mh."
Basaksehir;105;2+1;2.799.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;136;2+1;5.550.000 TL;"Bahçeşehir
Bahçeşehir 1. Kısım Mh."
Basaksehir;105;2+1;3.170.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;208;4+1;12.500.000 TL;"İkitelli
Kayabaşı Mh."
Basaksehir;110;2+1;3.480.000 TL;"İkitelli
Güvercintepe Mh."
Basaksehir;210;4+1;13.000.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;118;3+1;5.590.000 TL;"Bahçeşehir
Bahçeşehir 1. Kısım Mh."
Basaksehir;95;2+1;4.379.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;75;2+1;3.500.000 TL;"İkitelli
Güvercintepe Mh."
Basaksehir;150;3+1;6.050.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;180;4+1;6.100.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;194;4+1;14.200.000 TL;"Başakşehir
Başak Mh."
Basaksehir;159;3+1;8.200.000 TL;"İkitelli
Ziya Gökalp Mh."
Basaksehir;170;3+1;8.250.000 TL;"İkitelli
Ziya Gökalp Mh."
Basaksehir;228;4+1;15.950.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;202;4+1;13.500.000 TL;"Bahçeşehir
Bahçeşehir 1. Kısım Mh."
Basaksehir;185;3+1;7.250.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;250;3+2;5.950.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;300;6+2;6.090.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;97;2+1;4.900.000 TL;"İkitelli
Ziya Gökalp Mh."
Basaksehir;115;2+1;6.500.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;168;3+1;10.300.000 TL;"Bahçeşehir
Bahçeşehir 2. Kısım Mh."
Basaksehir;186;3.5+1;10.500.000 TL;"İkitelli
Kayabaşı Mh."
Basaksehir;110;2+1;6.525.000 TL;"Başakşehir
Başakşehir Mh."
Basaksehir;220;4+1;16.500.000 TL;"İkitelli
İkitelli OSB"
Bayrampasa;150;3+2;5.290.000 TL;"Altıntepsi
Vatan Mah."
Bayrampasa;186;3+1;17.000.000 TL;"Altıntepsi
Altıntepsi Mh."
Bayrampasa;82;2+1;3.430.000 TL;"Altıntepsi
Altıntepsi Mh."
Bayrampasa;110;3+1;8.400.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;100;3+1;3.150.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;175;4+1;7.300.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;115;3+1;8.450.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;106;2+1;7.150.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;140;2+2;5.350.000 TL;"Yıldırım
Cevatpaşa Mh."
Bayrampasa;145;3+1;8.500.000 TL;"Yıldırım
Kocatepe Mah."
Bayrampasa;96;3+1;8.750.000 TL;"Muratpaşa
İsmet Paşa Mh."
Bayrampasa;85;2+1;3.350.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;80;2+1;5.500.000 TL;"Yıldırım
Kocatepe Mah."
Bayrampasa;180;4+2;5.950.000 TL;"Altıntepsi
Terazidere Mah."
Bayrampasa;120;3+1;5.500.000 TL;"Altıntepsi
Vatan Mah."
Bayrampasa;135;3+1;8.500.000 TL;"Muratpaşa
Kartaltepe Mah."
Bayrampasa;110;2+1;3.799.000 TL;"Muratpaşa
Kartaltepe Mah."
Bayrampasa;115;3+1;4.950.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;150;3+2;5.600.000 TL;"Numunebağ
Yenidoğan Mh."
Bayrampasa;180;4+2;6.850.000 TL;"Altıntepsi
Altıntepsi Mh."
Bayrampasa;90;2+1;3.250.000 TL;"Numunebağ
Orta Mh."
Bayrampasa;125;2+1;8.400.000 TL;"Yıldırım
Kocatepe Mah."
Bayrampasa;90;2+1;2.495.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;106;3+1;18.000.000 TL;"Muratpaşa
İsmet Paşa Mh."
Bayrampasa;80;2+1;3.950.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;80;2+1;3.800.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;246;3+1;18.000.000 TL;"Altıntepsi
Altıntepsi Mh."
Bayrampasa;95;2+1;5.150.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;55;1+1;3.650.000 TL;"Altıntepsi
Altıntepsi Mh."
Bayrampasa;130;2+2;4.250.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;110;3+1;8.250.000 TL;"Yıldırım
Kocatepe Mah."
Bayrampasa;104;3+1;11.250.000 TL;"Muratpaşa
İsmet Paşa Mh."
Bayrampasa;55;1+1;1.525.000 TL;"Altıntepsi
Altıntepsi Mh."
Bayrampasa;185;4+2;9.600.000 TL;"Numunebağ
Yenidoğan Mh."
Bayrampasa;100;2+1;3.800.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;200;3+2;9.000.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;190;4+2;8.900.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;90;2+1;5.650.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;165;3+1;11.750.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;90;2+1;5.650.000 TL;"Yıldırım
Yıldırım Mh."
Bayrampasa;216;4+2;11.500.000 TL;"Muratpaşa
Kartaltepe Mah."
Bayrampasa;180;4+2;7.550.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;145;2+2;5.350.000 TL;"Yıldırım
Cevatpaşa Mh."
Bayrampasa;150;3+2;5.900.000 TL;"Yıldırım
Kocatepe Mah."
Bayrampasa;80;2+1;3.050.000 TL;"Muratpaşa
Muratpaşa Mh."
Bayrampasa;180;4+1;5.100.000 TL;"Numunebağ
Orta Mh."
Bayrampasa;135;3+2;5.500.000 TL;"Altıntepsi
Vatan Mah."
Bayrampasa;155;3+1;8.250.000 TL;"Yıldırım
Kocatepe Mah."
Bayrampasa;105;2+1;3.150.000 TL;"Muratpaşa
Kartaltepe Mah."
Bayrampasa;210;4+2;8.700.000 TL;"Yıldırım
Cevatpaşa Mh."
Besiktas;135;3+1;28.000.000 TL;Etiler
Besiktas;262;3.5+1;82.250.000 TL;"Türkali
Vişnezade Mh."
Besiktas;105;2.5+1;3.750.000 TL;"Ortaköy
Mecidiye Mah."
Besiktas;260;2+1;32.500.000 TL;Levent
Besiktas;123;3+1;36.980.000 TL;"Levazım
Nisbetiye Mh."
Besiktas;300;3+2;29.900.000 TL;"Ortaköy
Ortaköy Mh."
Besiktas;205;4+1;45.523.000 TL;"Levazım
Ulus Mah."
Besiktas;440;4.5+1;136.000.000 TL;"Levazım
Ulus Mah."
Besiktas;147;2+1;36.900.000 TL;"Abbasağa
Abbasağa Mh."
Besiktas;120;3+1;12.500.000 TL;"Levazım
Nisbetiye Mh."
Besiktas;190;3+1;59.500.000 TL;"Levazım
Levazım Mh."
Besiktas;180;3+1;51.000.000 TL;Etiler
Besiktas;150;3+1;32.000.000 TL;Etiler
Besiktas;100;2.5+1;10.500.000 TL;Bebek
Besiktas;280;4+1;105.000.000 TL;Bebek
Besiktas;105;2+1;28.000.000 TL;"Ortaköy
Mecidiye Mah."
Besiktas;58;1+1;6.000.000 TL;"Gayrettepe
Dikilitaş Mh."
Besiktas;187;3+1;51.000.000 TL;Etiler
Besiktas;150;3+1;15.500.000 TL;"Gayrettepe
Dikilitaş Mh."
Besiktas;230;4+1;52.500.000 TL;"Ortaköy
Ortaköy Mh."
Besiktas;135;3+1;16.900.000 TL;Etiler
Besiktas;80;2+1;17.000.000 TL;"Akatlar
Akat Mah."
Besiktas;200;3+1;85.000.000 TL;"Levazım
Ulus Mah."
Besiktas;100;2+1;4.000.000 TL;"Türkali
Muradiye Mah."
Besiktas;250;4+1;42.500.000 TL;"Ortaköy
Ortaköy Mh."
Besiktas;85;2+1;15.250.000 TL;"Gayrettepe
Dikilitaş Mh."
Besiktas;156;3+1;21.500.000 TL;"Levazım
Nisbetiye Mh."
Besiktas;300;4+1;49.000.000 TL;"Levazım
Ulus Mah."
Besiktas;70;1.5+1;5.500.000 TL;"Abbasağa
Cihannüma Mh."
Besiktas;220;3.5+1;28.000.000 TL;"Levazım
Nisbetiye Mh."
Besiktas;75;1+1;17.000.000 TL;Gayrettepe
Besiktas;385;4+1;14.700.000 TL;"Gayrettepe
Dikilitaş Mh."
Besiktas;120;2+1;22.000.000 TL;Gayrettepe
Besiktas;165;4+1;13.750.000 TL;Gayrettepe
Besiktas;90;2+1;10.000.000 TL;"Türkali
Türkali Mh."
Besiktas;240;3.5+1;69.000.000 TL;"Gayrettepe
Yıldız Mh."
Besiktas;158;3+1;25.000.000 TL;"Gayrettepe
Dikilitaş Mh."
Besiktas;167;3+1;19.250.000 TL;"Levazım
Nisbetiye Mh."
Besiktas;300;5+1;41.500.000 TL;"Ortaköy
Ortaköy Mh."
Besiktas;150;3+1;37.000.000 TL;"Levazım
Nisbetiye Mh."
Besiktas;185;3+1;25.000.000 TL;"Ortaköy
Ortaköy Mh."
Besiktas;135;2+1;17.500.000 TL;Etiler
Besiktas;540;5+2;120.000.000 TL;"Gayrettepe
Dikilitaş Mh."
Besiktas;;;;
Besiktas;185;3+1;50.750.000 TL;Etiler
Besiktas;75;1+1;6.400.000 TL;"Abbasağa
Cihannüma Mh."
Besiktas;80;1.5+1;4.250.000 TL;"Türkali
Türkali Mh."
Besiktas;240;5+2;25.000.000 TL;"Abbasağa
Abbasağa Mh."
Besiktas;201;4+1;25.500.000 TL;"Levazım
Ulus Mah."
Besiktas;90;3+1;9.700.000 TL;"Türkali
Vişnezade Mh."
Besiktas;220;4+1;28.000.000 TL;"Levazım
Nisbetiye Mh."
Beykoz;103;3+1;4.200.000 TL;"Paşabahçe
Paşabahçe Mh."
Beykoz;185;3+1;7.500.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;150;3+1;6.450.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;162;3+1;16.250.000 TL;"Paşabahçe
Çiğdem Mh."
Beykoz;200;4+1;10.800.000 TL;"Anadoluhisarı
Anadolu Hisarı Mh."
Beykoz;205;3.5+1;12.790.000 TL;"Çubuklu
Çubuklu Mh."
Beykoz;135;3+1;14.200.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;90;2+1;7.900.000 TL;"Çubuklu
Çubuklu Mh."
Beykoz;220;3+1;20.000.000 TL;"Beykoz
Merkez Mah."
Beykoz;110;2+1;5.500.000 TL;"Göksu
Göztepe Mh."
Beykoz;135;3+1;10.880.000 TL;"Göksu
Göztepe Mh."
Beykoz;180;3+1;25.000.000 TL;"Paşabahçe
Soğuksu Mh."
Beykoz;60;1.5+1;3.250.000 TL;"Anadoluhisarı
Anadolu Hisarı Mh."
Beykoz;150;3+1;5.700.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;245;2.5+1;6.500.000 TL;"Beykoz
Yeni Mahalle Mah."
Beykoz;100;3+1;7.500.000 TL;"Anadoluhisarı
Kanlıca Mh."
Beykoz;90;2+1;20.000.000 TL;"Anadoluhisarı
Anadolu Hisarı Mh."
Beykoz;305;4+1;48.200.000 TL;"Paşabahçe
Çiğdem Mh."
Beykoz;120;3+1;12.450.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;80;1+1;5.400.000 TL;"Anadoluhisarı
Anadolu Hisarı Mh."
Beykoz;139;2+1;20.000.000 TL;"Paşabahçe
Çiğdem Mh."
Beykoz;90;2+1;7.500.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;40;1+1;2.750.000 TL;"Paşabahçe
Paşabahçe Mh."
Beykoz;200;3+1;9.650.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;135;3+1;10.500.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;220;4+2;15.000.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;90;2+1;10.500.000 TL;"Paşabahçe
Soğuksu Mh."
Beykoz;160;3+2;6.000.000 TL;"Anadoluhisarı
Anadolu Hisarı Mh."
Beykoz;140;2.5+1;14.500.000 TL;"Paşabahçe
Acarlar Mah."
Beykoz;200;4+1;18.000.000 TL;"Anadoluhisarı
Anadolu Hisarı Mh."
Beykoz;140;2+1;4.500.000 TL;"Beykoz
Yeni Mahalle Mah."
Beykoz;140;2.5+1;14.500.000 TL;"Paşabahçe
Acarlar Mah."
Beykoz;120;2+1;4.850.000 TL;"Çavuşbaşı
Çengeldere Mh."
Beykoz;140;2+1;6.000.000 TL;"Beykoz
Ortaçeşme Mh."
Beykoz;135;3+1;8.000.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;101;1+1;14.400.000 TL;"Paşabahçe
Acarlar Mah."
Beykoz;140;3+1;8.000.000 TL;"Çubuklu
Rüzgarlıbahçe Mh."
Beykoz;85;2+1;7.350.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;162;3+1;10.750.000 TL;"Anadoluhisarı
Anadolu Hisarı Mh."
Beykoz;110;2.5+1;5.600.000 TL;"Göksu
Göztepe Mh."
Beykoz;125;3+1;7.750.000 TL;"Paşabahçe
Çiğdem Mh."
Beykoz;157;3+1;20.500.000 TL;"Paşabahçe
Çiğdem Mh."
Beykoz;220;4+1;12.850.000 TL;"Göksu
Göztepe Mh."
Beykoz;140;2+1;18.600.000 TL;"Paşabahçe
Acarlar Mah."
Beykoz;103;3+1;6.500.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;279;3+1;41.000.000 TL;"Paşabahçe
Acarlar Mah."
Beykoz;166;2+1;15.750.000 TL;"Paşabahçe
Acarlar Mah."
Beykoz;138;4+1;12.900.000 TL;"Köyler
Riva Mh."
Beykoz;115;2+1;5.500.000 TL;"Anadoluhisarı
Kavacık Mh."
Beykoz;223;3+1;15.700.000 TL;"Anadoluhisarı
Kavacık Mh."
Beylikduzu;110;2+1;2.999.000 TL;"Yakuplu
Marmara Mah."
Beylikduzu;110;2+1;2.650.000 TL;"Kavaklı
Barış Mh."
Beylikduzu;145;3+1;2.999.000 TL;Yakuplu
Beylikduzu;130;3+1;2.799.000 TL;"Yakuplu
Marmara Mah."
Beylikduzu;155;3+1;3.699.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;190;3+1;4.389.999 TL;"Kavaklı
Barış Mh."
Beylikduzu;115;2+1;3.299.999 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;110;2+1;3.699.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;160;4+1;1.450.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;105;2+1;2.799.000 TL;Yakuplu
Beylikduzu;100;2+1;2.489.000 TL;"Merkez
Beylikdüzü OSB"
Beylikduzu;100;2+1;2.945.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;120;2+1;2.499.000 TL;Yakuplu
Beylikduzu;155;3+1;4.599.999 TL;"Yakuplu
Marmara Mah."
Beylikduzu;190;3+1;3.699.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;160;3+1;4.400.000 TL;"Kavaklı
Barış Mh."
Beylikduzu;95;2+1;3.325.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;95;2+1;980.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;100;2+1;2.099.000 TL;"Merkez
Beylikdüzü OSB"
Beylikduzu;115;2+1;2.499.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;165;3.5+1;3.885.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;165;3+1;6.100.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;110;2+1;2.860.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;165;3+1;5.749.999 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;145;3+1;3.747.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;140;3+1;3.769.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;160;3+1;5.099.000 TL;"Yakuplu
Marmara Mah."
Beylikduzu;120;2+1;3.318.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;115;2+1;2.849.000 TL;"Kavaklı
Sahil Mah."
Beylikduzu;200;4+1;4.649.000 TL;"Kavaklı
Sahil Mah."
Beylikduzu;135;3+1;2.875.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;180;3+1;3.899.999 TL;"Yakuplu
Marmara Mah."
Beylikduzu;140;3+1;1.990.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;;;;
Beylikduzu;125;2+1;3.750.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;115;2+1;2.655.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;100;2+1;1.549.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;165;3+1;3.999.000 TL;"Yakuplu
Marmara Mah."
Beylikduzu;90;1+1;1.550.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;115;2+1;1.099.000 TL;"Merkez
Beylikdüzü OSB"
Beylikduzu;150;3+1;4.950.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;200;3+2;4.999.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;90;1+1;1.270.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;100;2+1;3.198.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;115;2+1;3.699.999 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;270;5+2;6.149.000 TL;"Yakuplu
Marmara Mah."
Beylikduzu;290;4+2;5.399.000 TL;"Kavaklı
Kavaklı Mh."
Beylikduzu;110;2+1;3.645.000 TL;"Gürpınar
Adnan Kahveci Mah."
Beylikduzu;125;2+1;2.250.000 TL;Yakuplu
Beylikduzu;100;2+1;2.459.000 TL;"Kavaklı
Cumhuriyet Mah."
Beylikduzu;115;2+1;2.680.000 TL;"Kavaklı
Cumhuriyet Mah."
Beyoglu;230;5+2;12.750.000 TL;"Halıcıoğlu
Sütlüce Mh."
Beyoglu;180;4+1;11.500.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;85;2+1;3.350.000 TL;"Halıcıoğlu
Sütlüce Mh."
Beyoglu;85;2+1;10.650.000 TL;"Cihangir
Kılıçali Paşa Mh."
Beyoglu;65;1+1;4.250.000 TL;"Taksim
Gümüşsuyu Mh."
Beyoglu;60;1+1;8.500.000 TL;Cihangir
Beyoglu;160;2+1;3.900.000 TL;"Halıcıoğlu
Örnektepe Mh."
Beyoglu;95;2+1;4.650.000 TL;"Halıcıoğlu
Sütlüce Mh."
Beyoglu;75;2+1;8.000.000 TL;"Cihangir
Kılıçali Paşa Mh."
Beyoglu;62;Stüdyo (1+0);8.500.000 TL;"Kasımpaşa
Hacıahmet Mh."
Beyoglu;125;3+1;3.345.000 TL;"Halıcıoğlu
Sütlüce Mh."
Beyoglu;80;2+1;7.500.000 TL;"Cihangir
Firuzağa Mh."
Beyoglu;90;2+1;2.185.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;250;4+2;12.500.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;85;2+1;2.685.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;137;3+1;17.700.000 TL;"Halıcıoğlu
Sütlüce Mh."
Beyoglu;95;2+1;3.800.000 TL;"Halıcıoğlu
Keçeci Piri Mh."
Beyoglu;90;2+1;13.000.000 TL;"Kemankeş
Hacımimi Mh."
Beyoglu;90;2+1;3.850.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;90;2+1;8.800.000 TL;"Cihangir
Tomtom Mah."
Beyoglu;90;2+1;2.300.000 TL;"Yenişehir
Yenişehir Mh."
Beyoglu;70;2+1;2.850.000 TL;"Tarlabaşı
Kalyoncu Kulluğu Mh."
Beyoglu;120;2+1;16.000.000 TL;"Kasımpaşa
Yahya Kahya Mah."
Beyoglu;60;1+1;4.250.000 TL;"Cihangir
Firuzağa Mh."
Beyoglu;340;4+2;10.000.000 TL;"Halıcıoğlu
Sütlüce Mh."
Beyoglu;85;2+1;6.300.000 TL;"Kasımpaşa
Bedrettin Mah."
Beyoglu;85;2+1;8.300.000 TL;Cihangir
Beyoglu;70;1+1;7.000.000 TL;"Tarlabaşı
Kalyoncu Kulluğu Mh."
Beyoglu;75;1+1;3.100.000 TL;"Halıcıoğlu
Keçeci Piri Mh."
Beyoglu;95;2+1;3.100.000 TL;"Halıcıoğlu
Örnektepe Mh."
Beyoglu;61;1+1;13.000.000 TL;"Tarlabaşı
Çukur Mh."
Beyoglu;200;4+2;4.600.000 TL;"Kasımpaşa
Kaptanpaşa Mh."
Beyoglu;90;2+1;2.350.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;245;6+1;39.500.000 TL;Cihangir
Beyoglu;75;2+1;2.750.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;170;3.5+1;16.650.000 TL;Cihangir
Beyoglu;100;2+1;8.500.000 TL;"Cihangir
Kuloğlu Mh."
Beyoglu;60;1+1;5.100.000 TL;"Arapcami
Şahkulu Mh."
Beyoglu;95;2+1;4.650.000 TL;"Halıcıoğlu
Keçeci Piri Mh."
Beyoglu;100;3+1;6.250.000 TL;Cihangir
Beyoglu;120;3+1;3.600.000 TL;"Kasımpaşa
Kaptanpaşa Mh."
Beyoglu;70;2+1;3.800.000 TL;"İstiklal
Çatma Mescit Mh."
Beyoglu;180;4+1;11.500.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;90;2+1;2.700.000 TL;"Kasımpaşa
Kaptanpaşa Mh."
Beyoglu;125;3+1;3.050.000 TL;"Halıcıoğlu
Halıcıoğlu Mh."
Beyoglu;125;2+1;4.750.000 TL;"Halıcıoğlu
Keçeci Piri Mh."
Beyoglu;120;4+1;10.975.000 TL;"Cihangir
Tomtom Mah."
Beyoglu;65;1+1;7.500.000 TL;"Kasımpaşa
İstiklal Mh."
Beyoglu;110;2+1;3.500.000 TL;"Kasımpaşa
Kadımehmet Efendi Mh."
Beyoglu;95;2+1;3.500.000 TL;"Kasımpaşa
Küçük Piyale Mh."
Buyukcekmece;50;Stüdyo (1+0);1.500.000 TL;"Kumburgaz
Kumburgaz Mh."
Buyukcekmece;275;3+1;8.799.000 TL;"Büyükçekmece
Fatih Mah."
Buyukcekmece;130;3+1;3.450.000 TL;"Büyükçekmece
Pınartepe Mh."
Buyukcekmece;105;2+1;6.059.000 TL;"Merkez
Mimaroba"
Buyukcekmece;95;2+1;4.250.000 TL;"Büyükçekmece
Atatürk Mh."
Buyukcekmece;120;2+1;2.750.000 TL;"Celaliye(Kamiloba)
Kamiloba Mah."
Buyukcekmece;215;4+1;7.300.000 TL;"Büyükçekmece
Fatih Mah."
Buyukcekmece;75;2+1;2.450.000 TL;"Tepecik
Ulus Mah."
Buyukcekmece;120;2+1;6.000.000 TL;"Büyükçekmece
Atatürk Mh."
Buyukcekmece;90;2+1;3.300.000 TL;"Büyükçekmece
Atatürk Mh."
Buyukcekmece;250;5+1;4.300.000 TL;"Büyükçekmece
Cumhuriyet Mah."
Buyukcekmece;145;3+1;5.900.000 TL;"Büyükçekmece
Pınartepe Mh."
Buyukcekmece;206;3+1;10.500.000 TL;"Büyükçekmece
Alkent 2000 Mah."
Buyukcekmece;240;4+1;15.850.000 TL;"Merkez
Sinanoba"
Buyukcekmece;160;3+1;8.349.000 TL;"Merkez
Mimaroba"
Buyukcekmece;150;4+1;4.250.000 TL;"Celaliye(Kamiloba)
Kamiloba Mah."
Buyukcekmece;95;2+1;3.650.000 TL;"Büyükçekmece
Pınartepe Mh."
Buyukcekmece;150;3+1;4.400.000 TL;"Merkez
Sinanoba"
Buyukcekmece;110;2+1;5.500.000 TL;"Büyükçekmece
Atatürk Mh."
Buyukcekmece;230;3+2;12.750.000 TL;"Büyükçekmece
Atatürk Mh."
Buyukcekmece;210;3+1;14.450.000 TL;"Merkez
Mimaroba"
Buyukcekmece;120;3+1;3.750.000 TL;"Büyükçekmece
Fatih Mah."
Buyukcekmece;270;5+2;12.750.000 TL;"Büyükçekmece
Cumhuriyet Mah."
Buyukcekmece;130;3+1;6.500.000 TL;"Büyükçekmece
Yenimahalle Mah."
Buyukcekmece;220;3+2;5.250.000 TL;"Büyükçekmece
Cumhuriyet Mah."
Buyukcekmece;110;2+1;4.150.000 TL;"Büyükçekmece
Atatürk Mh."
Buyukcekmece;73;1+1;3.950.000 TL;"Büyükçekmece
Çakmaklı Mh."
Buyukcekmece;205;3+2;5.950.000 TL;"Büyükçekmece
Atatürk Mh."
Buyukcekmece;162;3+1;8.400.000 TL;"Merkez
Mimaroba"
Buyukcekmece;120;2+1;5.000.000 TL;"Merkez
Mimaroba"
